Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
98383ffb-026c-3b4c-aa1a-96ed4c1ef0ef,1995-04-14,,999-18-9453,S99942332,X36424906X,Mr.,Freddy176,Christopher407,Shields502,,,M,white,nonhispanic,M,Needham  Massachusetts  US,799 Hessel Spur,Sharon,Massachusetts,Norfolk County,25021,02067,42.085426989251545,-71.14267649801242,8691.60,2621.20,28768
23d5ed90-db33-fe57-89f1-edea0ba84221,2010-05-13,,999-24-2078,,,,Columbus656,Pedro316,Pfeffer420,,,,white,nonhispanic,M,Swampscott  Massachusetts  US,454 Heaney Bay Suite 14,Winchester,Massachusetts,Middlesex County,25017,01890,42.44372799764227,-71.16105607199214,9402.40,0.00,170817
00f67e58-8cba-46f4-a97b-8224e44c74c0,1988-04-07,,999-89-7971,S99939030,X25214090X,Mrs.,Cherlyn665,Laquita685,O'Kon634,,Lesch175,D,white,nonhispanic,F,Merrimac  Massachusetts  US,137 Rolfson Burg,Winchester,Massachusetts,Middlesex County,25017,01890,42.47329153853378,-71.15268629776558,10919.56,0.00,41205
5642c65b-7584-0da0-42b3-f5a838bd1b5b,1977-11-01,,999-54-6766,S99924484,X41016766X,Mrs.,Ellen406,See995,Reynolds644,,Lehner980,M,white,nonhispanic,F,Needham  Massachusetts  US,179 Kshlerin Passage Suite 10,West Boylston,Massachusetts,Worcester County,,00000,42.388758564758696,-71.77354323120407,4400.00,7190.40,11725
bd3be97a-a033-7822-560c-a79f3254c7c7,1954-07-15,,999-69-5544,S99983502,X86133592X,Mr.,Issac619,,Kerluke267,,,D,white,nonhispanic,M,Watertown  Massachusetts  US,244 Sawayn Divide Suite 10,Mansfield,Massachusetts,Bristol County,,00000,42.02086264793442,-71.17018017263896,16822.84,1324.57,183439
2bc69e2e-154a-476f-9fee-4e8d03728119,2006-10-31,,999-71-8970,S99965823,,Ms.,Eliza161,Oda116,Koepp521,,,,white,nonhispanic,F,Boston  Massachusetts  US,930 Pacocha Mews,Beverly,Massachusetts,Essex County,25009,01915,42.561844424097465,-70.87053329297639,10357.60,0.00,53096
f78e969f-faa5-d807-ebc9-4493f68aed29,1973-06-23,,999-27-2609,S99955195,X81582170X,Mr.,Zachery872,Shane235,Heathcote539,,,M,white,nonhispanic,M,Leominster  Massachusetts  US,576 Emard Ranch,Kingston,Massachusetts,Plymouth County,25023,02364,41.95084827904172,-70.78517823092487,13599.71,0.00,193879
07a5045a-7d4a-37b3-381f-c7aa05c322f1,1998-04-26,,999-63-6829,S99949770,X77029708X,Mr.,Emmanuel930,Santos184,Lakin515,,,,white,nonhispanic,M,Chelsea  Massachusetts  US,904 Cassin Club Apt 84,Worcester,Massachusetts,Worcester County,25027,01608,42.24907403074653,-71.81659834395678,11597.16,0.00,68911
1341db60-8bbc-c1ed-a45a-f2fc83d25c16,1954-08-17,,999-56-4198,S99962074,X42248139X,Mrs.,Joel444,,Keeling57,,Ryan260,D,white,nonhispanic,F,West Dennis  Massachusetts  US,710 Howell Rest,Falmouth,Massachusetts,Barnstable County,25001,02540,41.55725658654925,-70.63730927204949,16612.53,921.36,39788
5381060a-de22-4965-441f-ecd1467aae4c,1986-06-20,,999-23-2158,S99926643,X65734989X,Mr.,Lucas404,Antoine384,Fisher429,,,M,white,nonhispanic,M,Chelmsford  Massachusetts  US,266 Hegmann Boulevard,Boston,Massachusetts,Suffolk County,25025,02163,42.30682924522893,-71.10709339365849,10635.20,0.00,35806
